---
description: Russian female surname, the feminine form of the same surname at the same line as person/male/lastName — so a family keeps one name. Weights match the masculine list.
Хромова,5291
Русакова,5263
Лобанова,5236
Юрьева,5208
Копейкина,5181
Беспалова,5155
Малышева,5128
Шарапова,5102
Сазонова,5076
Мухина,5051
Балашова,5025
Горелова,5000
Быстрова,4975
Некрасова,4950
Сомова,4926
Кочеткова,4902
Пирогова,4878
Круглова,4854
Ларионова,4831
Литвинова,4808
Гордеева,4785
Дорофеева,4762
Стрелкова,4739
Крутова,4717
Дегтярёва,4695
Мишина,4673
Калашникова,4651
Веселова,4630
Ионова,4608
Сычёва,4587
Барсукова,4566
Ткачёва,4545
Голикова,4525
Демидова,4505
Ильинская,4484
Сухарева,4464
Шевелёва,4444
Мещерякова,4425
Родина,4405
Голованова,4386
Судакова,4367
Красильникова,4348
Шаповалова,4329
Шульгина,4310
Богомолова,4292
Демьянова,4274
Хрусталёва,4255
Мокеева,4237
Гущина,4219
Лапина,4202
Осокина,4184
Малинина,4167
Сидорина,4149
Ефимцева,4132
Голубцова,4115
Севастьянова,4098
Черепанова,4082
Ушанова,4065
Вешнякова,4049
Гурова,4032
Малкова,4016
Курбатова,4000
Кулакова,3984
Печёнкина,3968
Голышева,3953
Спиридонова,3937
Ярославцева,3922
Свиридова,3906
Хренова,3891
Головина,3876
Рожнова,3861
Волошина,3846
Ситнова,3831
Пестова,3817
Батурина,3802
Кораблёва,3788
Чижова,3774
Мошкина,3759
Ларичева,3745
Заславская,3731
Кузовкова,3717
Тумакова,3704
Носырева,3690
Лужкова,3676
Чеснокова,3663
Луговая,3650
Гладкова,3636
Вострикова,3623
Полозова,3610
Мамаева,3597
Костылева,3584
Балакирева,3571
Шаталова,3559
Шитова,3546
Гуськова,3534
Ремизова,3521
Копысова,3509
Огурцова,3497
Пантелеева,3484
Кочергина,3472
Дубова,3460
Замятина,3448
Тюрина,3436
Ветрова,3425
Столярова,3413
Пугачёва,3401
Милованова,3390
Скворцова,3378
Ключникова,3367
Ромашова,3356
Тюленева,3344
Боброва,3333
Молчанова,3322
Веретенникова,3311
Синицына,3300
Токмакова,3289
Волчкова,3279
Аверина,3268
Луконина,3257
Курганова,3247
Ушкалова,3236
Кленова,3226
Дубровина,3215
Липатова,3205
Мещерина,3195
Хабарова,3185
Косарева,3175
Синельникова,3165
Полтавская,3155
Заикина,3145
Лужина,3135
Ракова,3125
Кострова,3115
Дьячкова,3106
Клюева,3096
Бабушкина,3086
Кулиева,3077
Мостовая,3067
Овсянникова,3058
Плешакова,3049
Селина,3040
Тарханова,3030
Хлебникова,3021
Шкурина,3012
Щукина,3003
Юркова,2994
Ямщикова,2985
Бажанова,2976
Веденеева,2967
Гаврюшина,2959
Дубинина,2950
Елисеева,2941
Жаркова,2933
Забелина,2924
Ивашова,2915
Калугина,2907
Лаврентьева,2899
Мокрушина,2890
Некрылова,2882
Обухова,2874
Пименова,2865
Рогачёва,2857
Салтыкова,2849
Тимошина,2841
Уланова,2833
Фирсова,2825
Харитонова,2817
Цветкова,2809
Чекалина,2801
Шумилова,2793
Щеглова,2786
Юртаева,2778
Ягодина,2770
Балабанова,2762
Виноградская,2755
Гурьева,2747
Дудина,2740
Ерофеева,2732
Жданова,2725
Зотова,2717
Изотова,2710
Кабакова,2703
Меньшикова,2695
Нестерова,2688
Онуфриева,2681
Перова,2674
Решетникова,2667
Сазанова,2660
Тряпкина,2653
Урусова,2646
Федулова,2639
Хмелёва,2632
Цыганкова,2625
Чубарова,2618
Шевцова,2611
Щедрина,2604
Юсупова,2597
Якимова,2591
Ватагина,2584
Голынская,2577
Дроздовская,2571
Ежова,2564
Жилина,2558
Зверева,2551
Ивакина,2545
Кожина,2538
Лужанская,2532
Мокина,2525
Небылицына,2519
Овсова,2513
Панарина,2506
Рыжова,2500
Суркова,2494
Тулупова,2488
Ушанина,2481
Фомичёва,2475
Худякова,2469
Цыбина,2463
Чугунова,2457
Шаманова,2451
Щербатова,2445
Юганова,2439
Ярцева,2433
Басова,2427
Вершинина,2421
Глухова,2415
Дерюгина,2410
Елагина,2404
Жеребцова,2398
Заварова,2392
Ильюшина,2387
Ковригина,2381
Лужникова,2375
Малахова,2370
Нагорная,2364
Огарёва,2358
Пряхина,2353
Рубцова,2347
Сотникова,2342
Трубникова,2336
Ульянова,2331
Фёдоровская,2326
Хомякова,2320
Целикова,2315
Чаплыгина,2309
Шабалина,2304
Щавелева,2299
Южакова,2294
Яшина,2288
Бахметьева,2283
Верёвкина,2278
Голубкова,2273
Ерёмина,2268
Жигалова,2262
Земцова,2257
Инюшина,2252
Козырева,2247
Лыкова,2242
Мокроусова,2237
Оськина,2232
Пузанова,2227
Романцова,2222
Сивкова,2217
Тимошенкова,2212
Ухова,2208
Фурсова,2203
Хрущёва,2198
Черкашина,2193
Шарова,2188
Щетинина,2183
Юрасова,2179
Яровая,2174
Бирюкова,2169
Волынская,2165
Голицына,2160
Долгова,2155
Ерыгина,2151
Жуковская,2146
Зенина,2141
Исакова,2137
Копалина,2132
Лужанина,2128
Меркулова,2123
Назаренкова,2119
Островская,2114
Пенькова,2110
Рудакова,2105
Сухова,2101
Тулина,2096
Ушкина,2092
Филимонова,2088
Хомутова,2083
Цыплакова,2079
Чуприна,2075
Шастина,2070
Щёголева,2066
Юрина,2062
Яблокова,2058
Богачёва,2053
Ворошилова,2049
Горячева,2045
Дубровская,2041
Ефанова,2037
Жихарева,2033
Зимакова,2028
Ипатова,2024
Колосова,2020
Лужанова,2016
Митина,2012
Некрасовская,2008
Опарина,2004
Плахова,2000
Рябинина,1996
Сысоева,1992
Тимакова,1988
Ушатова,1984
Фатеева,1980
Хабибулина,1976
Цуканова,1972
Чепурная,1969
Шеина,1965
Щепкина,1961
Юркина,1957
Якушева,1953
Буслаева,1949
Ветлугина,1946
Гвоздева,1942
Дёмина,1938
Зубарева,1934
Ищенкова,1931
Кувшинова,1927
Мочалова,1923
Наседкина,1919
Овечкина,1916
Полухина,1912
Рябкова,1908
Сычугова,1905
Тишкова,1901
Ушкова,1898
Фетисова,1894
Холмогорова,1890
Цыбулина,1887
Чижикова,1883
Шибанова,1880
Щеткина,1876
Юсова,1873
Ямпольская,1869
