---
address: laos.geo.districtWithCode
1205 ຍົມມະລາດ
1206 ບົວລະພາ
1207 ນາກາຍ
1208 ເຊບັ້ງໄຟ
1209 ໄຊບົວທອງ
1210 ຄູນຄຳ
1301 ໄກສອນ ພົມວິຫານ
1302 ອຸທຸມພອນ
1303 ອາດສະພັງທອງ
1304 ພີນ
1305 ເຊໂປນ
1306 ນອງ
1307 ທ່າປາງທອງ
1308 ສອງຄອນ
1309 ຈຳພອນ
1310 ຊົນນະບູລີ
1311 ໄຊບູລີ
1312 ວີລະບຸລີ
1313 ອາດສະພອນ
1314 ໄຊພູທອງ
1315 ພະລານໄຊ
1401 ສາລະວັນ
1402 ຕະໂອ້ຍ
1403 ຕຸ້ມລານ
1404 ລະຄອນເພັງ
1405 ວາປີ
1406 ຄົງເຊໂດນ
1407 ເລົ່າງາມ
1408 ສະມ້ວຍ
1501 ລະມາມ
1502 ກະເລິມ
1503 ດາກຈຶງ
1504 ທ່າແຕງ
1601 ປາກເຊ
1602 ຊະນະສົມບູນ
1603 ບາຈຽງຈະເລີນສຸກ
1604 ປາກຊ່ອງ
1605 ປະທຸມພອນ
1606 ໂພນທອງ
1607 ຈຳປາສັກ
1608 ສຸຂຸມາ
1609 ມູນລະປະໂມກ
1610 ໂຂງ
1701 ໄຊເຊດຖາ
1702 ສາມັກຄີໄຊ
1703 ສະໜາມໄຊ
1704 ສານໄຊ
1705 ພູວົງ
1801 ອະນຸວົງ
1802 ລ້ອງແຈ້ງ
1803 ລ້ອງຊານ
1804 ຮົ່ມ
1805 ທ່າໂທມ
