name,state,population
Swartz Creek,Michigan,5840
Lafayette,Tennessee,5839
Tarrant,Alabama,5833
Eaton,Colorado,5832
Stroudsburg,Pennsylvania,5832
Richmond,Michigan,5831
Los Ranchos de Albuquerque,New Mexico,5828
Estes Park,Colorado,5824
Estherville,Iowa,5823
Evansville,Wisconsin,5823
Edinboro,Pennsylvania,5821
Attalla,Alabama,5818
Belmar,New Jersey,5816
District Heights,Maryland,5811
Clearfield,Pennsylvania,5810
Germantown,Ohio,5809
Carterville,Illinois,5808
Wake Village,Texas,5808
Groveport,Ohio,5806
Pontoon Beach,Illinois,5804
Dunlap,Tennessee,5804
Central City,Kentucky,5800
Oelwein,Iowa,5791
Dayton,Kentucky,5790
Hudson,New York,5790
Tallulah,Louisiana,5785
Coal City,Illinois,5784
Salamanca,New York,5783
Metropolis,Illinois,5782
Paola,Kansas,5780
Bartonville,Illinois,5779
Hillsboro,Illinois,5773
New Whiteland,Indiana,5773
Grafton,Ohio,5773
Belleview,Florida,5770
Childress,Texas,5770
Rainsville,Alabama,5768
Littlefield,Texas,5768
Windcrest,Texas,5759
Plymouth,Pennsylvania,5755
Berryville,Arkansas,5754
Luling,Texas,5754
Beardstown,Illinois,5749
Webster,New York,5749
New Holland,Pennsylvania,5748
Peoria Heights,Illinois,5747
Livingston,Texas,5747
Waterford,Wisconsin,5744
Carlisle,Ohio,5740
Nashville,North Carolina,5737
Verdigris,Oklahoma,5736
Jamesburg,New Jersey,5735
Monroeville,Alabama,5734
Goshen,New York,5733
Albion,New York,5730
Norwood,New Jersey,5729
Columbia,Mississippi,5727
Columbia Falls,Montana,5723
Poolesville,Maryland,5720
Monticello,Kentucky,5715
Philomath,Oregon,5714
Dos Palos,California,5708
Goddard,Kansas,5708
Anamosa,Iowa,5704
Adel,Georgia,5700
Kaser,New York,5699
Ranson corporation,West Virginia,5699
Chisago City,Minnesota,5698
McKees Rocks,Pennsylvania,5695
Du Quoin,Illinois,5694
Elsa,Texas,5693
Willow Springs,Illinois,5688
Hickory Creek,Texas,5688
Rensselaer,Indiana,5684
Slaton,Texas,5684
Bay Harbor Islands,Florida,5679
Winston,Oregon,5678
Hyde Park,Utah,5677
White City metro township,Utah,5676
Dowagiac,Michigan,5673
Glencoe,Minnesota,5672
Bellevue,Kentucky,5671
Union Beach,New Jersey,5671
Brookshire,Texas,5667
Villa Park,California,5664
Milton,Wisconsin,5658
Washingtonville,New York,5655
Zeeland,Michigan,5645
Horace,North Dakota,5643
Princeton,West Virginia,5642
East Alton,Illinois,5639
Odessa,Missouri,5638
Patterson,Louisiana,5636
Mount Carmel,Pennsylvania,5635
Rockwood,Tennessee,5635
Cicero,Indiana,5630
Walton,Kentucky,5629
Bessemer City,North Carolina,5625
Trenton,Missouri,5622
Kings Point,New York,5622
Mena,Arkansas,5618
Williams,California,5617
Marion,Virginia,5617
Ulysses,Kansas,5616
Palmerton,Pennsylvania,5616
Polson,Montana,5613
Punxsutawney,Pennsylvania,5613
Henryetta,Oklahoma,5612
Crescent City,California,5611
Berlin,Wisconsin,5611
Waynesboro,Georgia,5607
Pendleton,Indiana,5604
International Falls,Minnesota,5603
Buckley,Washington,5603
Okeechobee,Florida,5602
Creswell,Oregon,5597
Shippensburg,Pennsylvania,5594
Chestertown,Maryland,5590
Colby,Kansas,5589
Rockdale,Texas,5588
DeWitt,Iowa,5587
Ashland City,Tennessee,5586
McKenzie,Tennessee,5586
Rigby,Idaho,5577
Credit River,Minnesota,5575
Eastman,Georgia,5568
Wilmington,Illinois,5568
Osceola,Iowa,5568
Somerdale,New Jersey,5567
Marlin,Texas,5563
Selinsgrove,Pennsylvania,5562
Mount Carmel,Tennessee,5556
Holtville,California,5555
Pahokee,Florida,5553
Sinton,Texas,5551
New Castle,Delaware,5549
Covington,Virginia,5545
Northfield,Illinois,5543
Monticello,Indiana,5543
Holdrege,Nebraska,5542
Pelham Manor,New York,5542
Flagler Beach,Florida,5541
Bath,New York,5539
Sandersville,Georgia,5536
Lake Bluff,Illinois,5534
North Kansas City,Missouri,5534
New Brighton,Pennsylvania,5534
Spirit Lake,Iowa,5533
Walnut Ridge,Arkansas,5532
Carlinville,Illinois,5531
Manchester,Maryland,5527
Medina,Tennessee,5526
Exeter,Pennsylvania,5524
Anadarko,Oklahoma,5518
Rothschild,Wisconsin,5514
Spring Grove,Illinois,5512
Cameron,Texas,5511
Hollidaysburg,Pennsylvania,5506
Cramerton,North Carolina,5496
Macon,Missouri,5495
New Carlisle,Ohio,5494
Pleasant View,Tennessee,5488
Monaca,Pennsylvania,5487
Thatcher,Arizona,5486
Greenville,Pennsylvania,5484
Sandy Oaks,Texas,5480
Smiths Station,Alabama,5477
Walterboro,South Carolina,5475
Surfside,Florida,5472
Clementon,New Jersey,5465
Shillington,Pennsylvania,5464
Emporia,Virginia,5463
Red Oak,Iowa,5461
Williamsville,New York,5458
St. Robert,Missouri,5457
Wellston,Ohio,5457
Waynesville,Missouri,5455
Granite Shoals,Texas,5451
Grosse Pointe,Michigan,5449
Columbus,Wisconsin,5448
Hollywood,South Carolina,5445
Spring Valley,Illinois,5442
White Hall,Arkansas,5437
Genoa,Illinois,5437
Sylvester,Georgia,5436
Ione,California,5431
Sheldon,Iowa,5422
Estacada,Oregon,5421
Atlanta,Texas,5421
New Hempstead,New York,5419
Whiteland,Indiana,5415
Leesville,Louisiana,5408
Glencoe,Alabama,5404
Douglass Hills,Kentucky,5403
Malone,New York,5400
Sayre,Pennsylvania,5400
Smithville,Tennessee,5392
Hoschton,Georgia,5388
Roanoke,Alabama,5387
Olyphant,Pennsylvania,5380
Winterset,Iowa,5374
Prairie du Chien,Wisconsin,5373
St. Paul Park,Minnesota,5371
Primera,Texas,5371
North Hills,New York,5370
La Habra Heights,California,5368
North Fond du Lac,Wisconsin,5366
Archer Lodge,North Carolina,5365
Chelsea,Michigan,5364
Rusk,Texas,5362
Kimberly,Idaho,5359
Sunset,Utah,5358
Kodiak,Alaska,5354
Wright City,Missouri,5354
Hiram,Georgia,5353
Fairport,New York,5353
Odenville,Alabama,5352
Collegeville,Pennsylvania,5351
Berlin,Maryland,5346
Centerville,Iowa,5344
Coraopolis,Pennsylvania,5344
Algona,Iowa,5342
Ripley,Mississippi,5338
Benson,Arizona,5337
Deer Park,Ohio,5336
Posen,Illinois,5334
Headland,Alabama,5333
Canal Fulton,Ohio,5333
Social Circle,Georgia,5330
Reminderville,Ohio,5329
Tyrone,Pennsylvania,5328
Salem,New Jersey,5325
Sansom Park,Texas,5323
Central,South Carolina,5322
Newport,Minnesota,5321
Englewood Cliffs,New Jersey,5321
Whispering Pines,North Carolina,5320
Magnolia,Texas,5320
Iola,Kansas,5318
Madisonville,Tennessee,5318
Lake City,Minnesota,5315
Princeton,Minnesota,5312
Vinita,Oklahoma,5312
Johnstown,Ohio,5310
Bridgeport,Pennsylvania,5310
Cornelia,Georgia,5309
Middletown,Maryland,5307
Carolina Shores,North Carolina,5307
Clarinda,Iowa,5305
Highwood,Illinois,5304
Ada,Ohio,5302
West Salem,Wisconsin,5298
Batesburg-Leesville,South Carolina,5297
La Crescent,Minnesota,5294
South Pasadena,Florida,5288
Summit,Wisconsin,5287
Springfield,Michigan,5281
Forest,Mississippi,5279
Grambling,Louisiana,5278
Sergeant Bluff,Iowa,5274
St. Helena,California,5272
Fort Meade,Florida,5270
Brush,Colorado,5268
Westville,Indiana,5268
Hamilton,Montana,5268
Weldon Spring,Missouri,5263
Lehighton,Pennsylvania,5256
Schuylkill Haven,Pennsylvania,5256
St. Martinville,Louisiana,5255
Lewisburg,Pennsylvania,5255
Giddings,Texas,5254
Fort Myers Beach,Florida,5251
Glennville,Georgia,5245
Tipton,Indiana,5245
Herculaneum,Missouri,5245
Kanab,Utah,5240
Manchester,Iowa,5239
Chardon,Ohio,5239
Gladstone,Michigan,5237
Montevideo,Minnesota,5235
Springville,Alabama,5233
Rockmart,Georgia,5231
Caruthersville,Missouri,5228
Chester,South Carolina,5227
North Manchester,Indiana,5225
LaBelle,Florida,5222
Moab,Utah,5221
Blakely,Georgia,5218
Guadalupe,Arizona,5217
Barling,Arkansas,5215
Warren,Arkansas,5211
Northwood,Ohio,5211
Long View,North Carolina,5207
Porter,Indiana,5204
Hudson,Texas,5203
Sheridan,Arkansas,5202
Tillamook,Oregon,5196
Daytona Beach Shores,Florida,5194
Lawrenceburg,Indiana,5194
Linton,Indiana,5194
Toronto,Ohio,5190
Hugo,Oklahoma,5190
Lone Grove,Oklahoma,5190
Bristol,Wisconsin,5187
Eureka,Illinois,5186
Veneta,Oregon,5183
Shelley,Idaho,5182
Fox Chapel,Pennsylvania,5180
Glenwood,Iowa,5175
Shallotte,North Carolina,5171
West Hazleton,Pennsylvania,5171
Louisburg,Kansas,5170
Holly Ridge,North Carolina,5170
Williamsburg,Kentucky,5169
Brewton,Alabama,5167
Cherokee,Iowa,5167
Eaton Rapids,Michigan,5165
Titusville,Pennsylvania,5164
Alexandria,Indiana,5163
Frankenmuth,Michigan,5163
North Oaks,Minnesota,5163
Center,Texas,5163
Allegan,Michigan,5162
Margate City,New Jersey,5162
Garwood,New Jersey,5161
Orange,Virginia,5158
Uhrichsville,Ohio,5155
Cave Creek,Arizona,5152
Union Grove,Wisconsin,5152
Chadron,Nebraska,5145
Morris,Minnesota,5140
Breckenridge,Texas,5140
Mayville,Wisconsin,5138
Bolivar,Tennessee,5136
Lakeport,California,5135
Kingsford,Michigan,5134
Jackson,California,5132
Liberty,New York,5130
Poplar Grove,Illinois,5129
Bangor,Pennsylvania,5128
Utica,Michigan,5124
Wildwood,New Jersey,5123
Tucumcari,New Mexico,5123
Mineola,Texas,5119
Port Isabel,Texas,5118
Big Stone Gap,Virginia,5114
Nassau Bay,Texas,5113
Elmsford,New York,5103
Gilmer,Texas,5100
Winona Lake,Indiana,5099
Monee,Illinois,5097
Birdsboro,Pennsylvania,5095
Richlands,Virginia,5095
Lake Barrington,Illinois,5092
Ayden,North Carolina,5092
Camilla,Georgia,5089
Berkeley,Illinois,5089
Mechanicville,New York,5089
New Freedom,Pennsylvania,5089
Rogersville,Missouri,5087
New Martinsville,West Virginia,5087
Dodgeville,Wisconsin,5085
West York,Pennsylvania,5078
Duryea,Pennsylvania,5075
Becker,Minnesota,5074
Savannah,Missouri,5072
Duquesne,Pennsylvania,5072
Windsor Heights,Iowa,5067
Whitehouse,Ohio,5063
Horseshoe Bay,Texas,5063
Penn Yan,New York,5062
Clarks Summit,Pennsylvania,5060
Redwood Falls,Minnesota,5059
Terrell Hills,Texas,5059
Calistoga,California,5058
Pleasant Garden,North Carolina,5057
Kingfisher,Oklahoma,5057
Davison,Michigan,5056
Buckhannon,West Virginia,5055
Adairsville,Georgia,5052
Williamston,North Carolina,5051
Pana,Illinois,5049
Elko New Market,Minnesota,5048
Grant-Valkaria,Florida,5045
Woodside,California,5037
Ste. Genevieve,Missouri,5037
Progreso,Texas,5037
Colville,Washington,5037
Swoyersville,Pennsylvania,5030
Valparaiso,Florida,5029
Creedmoor,North Carolina,5026
Sawmills,North Carolina,5025
Palmetto,Georgia,5021
Lindstrom,Minnesota,5008
Franklin,New Jersey,5008
Big Bear Lake,California,5007
Concordia,Kansas,5004
Omak,Washington,5004
Iowa Falls,Iowa,5002
Pinckneyville,Illinois,4995
Ashland,Missouri,4995
Sea Cliff,New York,4995
Cheraw,South Carolina,4995
Crandall,Texas,4995
Bisbee,Arizona,4994
Manheim,Pennsylvania,4994
Buellton,California,4990
Harrington Park,New Jersey,4990
Wahoo,Nebraska,4987
Falcon Heights,Minnesota,4984
Fellsmere,Florida,4982
Denton,Maryland,4979
Alva,Oklahoma,4978
Colona,Illinois,4977
Island Park,New York,4976
Kenneth City,Florida,4975
Grayson,Georgia,4975
South Barrington,Illinois,4974
Leonardtown,Maryland,4974
St. Clairsville,Ohio,4973
Jasper,Georgia,4970
Mendham,New Jersey,4970
Muleshoe,Texas,4970
Milan,Illinois,4968
King City,Oregon,4968
Rocky Mount,Virginia,4968
Munroe Falls,Ohio,4966
Brady,Texas,4965
Madison,Georgia,4964
Hazard,Kentucky,4964
Midfield,Alabama,4960
Vandergrift,Pennsylvania,4958
Ironwood,Michigan,4957
Medical Lake,Washington,4957
Saltillo,Mississippi,4955
McLendon-Chisholm,Texas,4954
Staunton,Illinois,4951
Vinton,Iowa,4951
Midway,North Carolina,4948
Baxley,Georgia,4945
Nashville,Georgia,4945
Richland Center,Wisconsin,4944
Wauchula,Florida,4943
Breckenridge,Colorado,4940
Silverthorne,Colorado,4940
Lonsdale,Minnesota,4937
Cherokee Village,Arkansas,4936
Wadesboro,North Carolina,4935
Ballston Spa,New York,4933
Edwardsville,Pennsylvania,4932
Midland,North Carolina,4930
Baldwin City,Kansas,4929
Turtle Creek,Pennsylvania,4929
Daleville,Alabama,4926
Elk Ridge,Utah,4925
Brielle,New Jersey,4920
Circle Pines,Minnesota,4919
Luverne,Minnesota,4918
Sonora,California,4917
Ardsley,New York,4916
Royersford,Pennsylvania,4916
Sparta,Tennessee,4915
Granite Falls,North Carolina,4914
Rio Communities,New Mexico,4907
Hinton,Oklahoma,4907
Bluefield,Virginia,4906
Clarkdale,Arizona,4904
Flemington,New Jersey,4902
Forsyth,Georgia,4901
Deer Park,Washington,4898
Point Pleasant Beach,New Jersey,4897
Telford,Pennsylvania,4896
Harlan,Iowa,4891
Port Allen,Louisiana,4890
Wonder Lake,Illinois,4889
Shenandoah,Iowa,4884
Chatsworth,Georgia,4883
Edgewater,Colorado,4882
South Hill,Virginia,4881
Columbia,Kentucky,4880
Sulphur,Oklahoma,4880
Gibraltar,Michigan,4873
Saranac Lake,New York,4871
Winfield,Alabama,4869
Desloge,Missouri,4869
New Castle,Colorado,4866
Littlestown,Pennsylvania,4866
Penns Grove,New Jersey,4865
Abbeville,South Carolina,4863
La Joya,Texas,4863
Indian Wells,California,4862
South Bay,Florida,4861
Aberdeen,Mississippi,4860
Osage Beach,Missouri,4856
Wellington,Ohio,4851
Bullard,Texas,4848
Cheboygan,Michigan,4847
Bloomfield,Wisconsin,4847
Wamego,Kansas,4846
Coopersville,Michigan,4846
Demarest,New Jersey,4846
Lexington,Ohio,4846
Willits,California,4843
Keyser,West Virginia,4843
Pittsboro,North Carolina,4839
Marksville,Louisiana,4835
Spring Lake Heights,New Jersey,4834
Holbrook,Arizona,4833
Old Westbury,New York,4833
Granite Falls,Washington,4829
Creve Coeur,Illinois,4828
Platte City,Missouri,4828
Luray,Virginia,4828
Moxee,Washington,4827
Westmont,Pennsylvania,4825
Needles,California,4824
Mount Pleasant,Tennessee,4824
Carthage,Mississippi,4821
Northvale,New Jersey,4821
Fortville,Indiana,4814
Columbiana,Alabama,4812
Silverton,Ohio,4812
Hallsville,Texas,4812
Dellwood,Missouri,4811
South Bound Brook,New Jersey,4811
Chittenango,New York,4810
West Milton,Ohio,4805
Beaufort,North Carolina,4804
Fountain Hill,Pennsylvania,4798
Windom,Minnesota,4797
Glendive,Montana,4796
Sayre,Oklahoma,4793
Watertown,Minnesota,4791
Flower Hill,New York,4791
Clinton,Indiana,4790
Alfred,New York,4789
Richwood,Texas,4789
Ottawa Hills,Ohio,4786
Lemoyne,Pennsylvania,4785
Worland,Wyoming,4785
Berryville,Virginia,4782
American Falls,Idaho,4781
Surf City,North Carolina,4781
DeWitt,Michigan,4779
Elberton,Georgia,4778
Winchester,Indiana,4778
Marseilles,Illinois,4773
Dilworth,Minnesota,4772
Morgan's Point Resort,Texas,4771
Palos Park,Illinois,4765
Benton,Kentucky,4765
Ashville,Ohio,4760
McRae-Helena,Georgia,4759
Higginsville,Missouri,4757
Green Tree,Pennsylvania,4755
Tallassee,Alabama,4753
Florence,Mississippi,4753
Cochran,Georgia,4749
Centreville,Maryland,4745
Le Claire,Iowa,4744
Erwin,North Carolina,4739
Fairfield,Illinois,4738
Connell,Washington,4735
Rockford,Minnesota,4734
Canton,Texas,4734
Hoopeston,Illinois,4731
Centralia,Missouri,4728
Humboldt,Iowa,4723
Crystal City,Missouri,4717
Wood Village,Oregon,4717
St. Clair,Missouri,4716
Buhl,Idaho,4715
Salem,Missouri,4713
Coldwater,Ohio,4712
Flora,Illinois,4711
Ovilla,Texas,4709
East Troy,Wisconsin,4707
Piedmont,Alabama,4705
Aurora,Nebraska,4704
Waterloo,New York,4704
Sugarcreek,Pennsylvania,4704
St. James,Minnesota,4699
Valdese,North Carolina,4699
Jenkintown,Pennsylvania,4699
Coopertown,Tennessee,4698
Utqia?vik,Alaska,4694
Weaverville,North Carolina,4693
Lillington,North Carolina,4692
Carmi,Illinois,4688
Beecher,Illinois,4687
Chisholm,Minnesota,4687
Shannon Hills,Arkansas,4685
Folkston,Georgia,4684
Crystal Springs,Mississippi,4681
Ogallala,Nebraska,4680
Oak Park Heights,Minnesota,4678
Holts Summit,Missouri,4677
Whiteville,North Carolina,4677
Arnold,Pennsylvania,4676
Randleman,North Carolina,4674
Montoursville,Pennsylvania,4666
Winnsboro,Louisiana,4665
Ranlo,North Carolina,4664
Westlake,Louisiana,4663
Hollister,Missouri,4661
East Palestine,Ohio,4658
Mount Ephraim,New Jersey,4654
Negaunee,Michigan,4653
Ahoskie,North Carolina,4651
Rock Hill,Missouri,4649
Hokes Bluff,Alabama,4648
West Pittston,Pennsylvania,4648
Hurstbourne,Kentucky,4645
Mountain Grove,Missouri,4645
Edwardsville,Kansas,4641
California,Pennsylvania,4639
Hartwell,Georgia,4638
Childersburg,Alabama,4637
Boiling Springs,North Carolina,4637
Huxley,Iowa,4634
Rogersville,Tennessee,4633
Parker,Florida,4631
Carrizo Springs,Texas,4628
Dawsonville,Georgia,4627
Southampton,New York,4627
Montebello,New York,4624
Loxley,Alabama,4623
Manitou Springs,Colorado,4622
Bridgeville,Pennsylvania,4622
Cornwall,Pennsylvania,4622
Oconto,Wisconsin,4621
Buffalo,Wyoming,4621
Fox River Grove,Illinois,4619
Lake Worth,Texas,4616
Tuscola,Illinois,4614
Sauk Centre,Minnesota,4610
Ligonier,Indiana,4608
Mountain Lakes,New Jersey,4608
Bremen,Indiana,4604
Eldon,Missouri,4602
Madisonville,Texas,4602
Breese,Illinois,4600
Sherman,Illinois,4599
Meadows Place,Texas,4596
Fremont,Michigan,4595
Manlius,New York,4593
Grafton,West Virginia,4589
Avalon,Pennsylvania,4588
Jeanerette,Louisiana,4587
Lexington,Missouri,4585
Neptune City,New Jersey,4581
Devine,Texas,4580
Caldwell,Texas,4579
Crossett,Arkansas,4578
Soldotna,Alaska,4577
Brisbane,California,4577
Barnwell,South Carolina,4577
Mansfield,Louisiana,4575
China Grove,North Carolina,4572
Lebanon,Illinois,4571
Mount Vernon,Missouri,4571
East Petersburg,Pennsylvania,4571
Delmar,Maryland,4569
Woodruff,South Carolina,4569
Vilonia,Arkansas,4568
Wellsville,New York,4566
Greendale,Indiana,4564
Prospect,Kentucky,4564
Whiteville,Tennessee,4561
Shelbyville,Illinois,4560
Dyersville,Iowa,4557
Brookland,Arkansas,4556
Camanche,Iowa,4552
Mount Vernon,Iowa,4552
Diboll,Texas,4551
Crescent Springs,Kentucky,4550
New Boston,Texas,4548
Farmville,North Carolina,4546
Ellisville,Mississippi,4544
Raeford,North Carolina,4544
Sunset Beach,North Carolina,4544
West Reading,Pennsylvania,4543
La Grange,Texas,4541
Dewey-Humboldt,Arizona,4540
Mosinee,Wisconsin,4538
Morgan,Utah,4536
Hearne,Texas,4535
Fulton,Mississippi,4534
Waynesboro,Mississippi,4534
Newton Falls,Ohio,4534
Scottsville,Kentucky,4533
Berwick,Louisiana,4531
Olympia Fields,Illinois,4530
Lafayette,Oregon,4530
Jim Thorpe,Pennsylvania,4529
Clintonville,Wisconsin,4529
Pocola,Oklahoma,4527
Jackson,Alabama,4525
South Tucson,Arizona,4521
Vail,Colorado,4521
California,Missouri,4520
Nowthen,Minnesota,4519
Fredericktown,Missouri,4518
Nelsonville,Ohio,4518
Mills,Wyoming,4517
Little Falls,New York,4516
Sellersville,Pennsylvania,4515
Pittsburg,Texas,4515
Belton,South Carolina,4511
Watseka,Illinois,4510
La Verkin,Utah,4510
Springhill,Louisiana,4509
Dexter,Michigan,4509
Hancock,Michigan,4507
Whiting,Indiana,4506
Hummelstown,Pennsylvania,4505
Dardanelle,Arkansas,4504
Huntingdon,Tennessee,4504
Freeburg,Illinois,4501
Donora,Pennsylvania,4500
West Wendover,Nevada,4499
Belleair,Florida,4495
Marlow,Oklahoma,4495
Newport,North Carolina,4494
Robbins,Illinois,4493
Evansdale,Iowa,4490
Buena,New Jersey,4489
Cortland,Illinois,4488
West Jefferson,Ohio,4488
McLoud,Oklahoma,4488
Jessup,Pennsylvania,4488
Narberth,Pennsylvania,4488
Wapato,Washington,4486
Edenton,North Carolina,4485
Prescott,Wisconsin,4485
Wayland,Michigan,4484
Charleston,Missouri,4483
Selmer,Tennessee,4482
Perryville,Maryland,4480
Cobleskill,New York,4479
Forest Hills,Tennessee,4479
Hamburg,Pennsylvania,4474
Sheffield,Ohio,4471
Kimberly,Alabama,4463
Canastota,New York,4462
Menands,New York,4461
Crestline,Ohio,4460
Indian River Shores,Florida,4458
Waverly,Nebraska,4458
Georgetown,Ohio,4458
Oak Hill,Tennessee,4457
Triana,Alabama,4456
Seat Pleasant,Maryland,4456
Gentry,Arkansas,4449
Glendale,Colorado,4447
Archbold,Ohio,4447
New Lexington,Ohio,4447
Auburn,Illinois,4444
Honesdale,Pennsylvania,4438
Eagar,Arizona,4437
Viroqua,Wisconsin,4437
Wolverine Lake,Michigan,4436
Kewaskum,Wisconsin,4435
Duncan,South Carolina,4431
Haughton,Louisiana,4430
Edinburgh,Indiana,4429
Lincoln,North Dakota,4426
Middleville,Michigan,4424
Perry,Oklahoma,4424
Phoenix,Oregon,4422
Summerville,Georgia,4420
Falfurrias,Texas,4420
Canton,North Carolina,4418
Rio Bravo,Texas,4418
Riverside,Missouri,4417
Ottawa,Ohio,4416
Sykesville,Maryland,4412
Chelan,Washington,4412
Tulia,Texas,4408
Medford,Wisconsin,4406
Goodland,Kansas,4403
Harrogate,Tennessee,4403
Stone Park,Illinois,4402
Pocomoke City,Maryland,4401
Benson,North Carolina,4401
Russell,Kansas,4400
Minersville,Pennsylvania,4400
Clayton,Delaware,4399
Chalfont,Pennsylvania,4396
Argo,Alabama,4386
Egg Harbor City,New Jersey,4385
Atlantic Highlands,New Jersey,4383
Kildeer,Illinois,4377
Bloomfield Hills,Michigan,4377
Southport,North Carolina,4377
Greenville,Kentucky,4374
Gaylord,Michigan,4374
Palacios,Texas,4374
Isle of Palms,South Carolina,4370
Prairie du Sac,Wisconsin,4370
Bayside,Wisconsin,4369
Baldwin,Wisconsin,4366
Caseyville,Illinois,4359
Garden Ridge,Texas,4359
La Center,Washington,4357
Magnolia,New Jersey,4356
Barboursville,West Virginia,4355
Beaver,Pennsylvania,4352
Hunters Creek Village,Texas,4352
Mount Orab,Ohio,4349
Paxton,Illinois,4348
Breckenridge Hills,Missouri,4348
Scott City,Missouri,4348
Louisville,Tennessee,4347
Mulberry,Florida,4346
Dansville,New York,4346
Wingate,North Carolina,4342
Bowling Green,Missouri,4341
New Roads,Louisiana,4339
North Wilkesboro,North Carolina,4338
Plain City,Ohio,4338
Weston Lakes,Texas,4338
Scottdale,Pennsylvania,4337
Greenfield,Ohio,4336
Newport,Vermont,4336
Rose Hill,Kansas,4332
Ludlow,Kentucky,4332
Tazewell,Virginia,4332
Wadena,Minnesota,4331
Highlands,New Jersey,4329
Franklin,North Carolina,4328
Carlisle,Iowa,4326
Reedsport,Oregon,4321
Surfside Beach,South Carolina,4321
Westville,New Jersey,4317
Broadway,Virginia,4317
Jourdanton,Texas,4304
Park Rapids,Minnesota,4302
Lamar,Missouri,4302
Haleyville,Alabama,4301
Glassport,Pennsylvania,4301
Denver City,Texas,4301
Clarion,Pennsylvania,4295
Comanche,Texas,4294
Medford Lakes,New Jersey,4291
Laureldale,Pennsylvania,4286
Mathis,Texas,4285
Wayzata,Minnesota,4284
Spindale,North Carolina,4284
Chariton,Iowa,4280
Lonoke,Arkansas,4277
Laurel,Delaware,4275
Sinking Spring,Pennsylvania,4275
Waverly,Tennessee,4275
DeMotte,Indiana,4274
Taylor,Arizona,4272
Sullivan,Illinois,4272
Forest City,Iowa,4272
Hampton,Iowa,4272
Caro,Michigan,4272
Spring Valley Village,Texas,4272
Southside,Arkansas,4271
Sparta,Michigan,4271
Waverly,New York,4270
Boardman,Oregon,4268
Lakewood,Illinois,4267
Highland Beach,Florida,4266
Columbus,Minnesota,4266
Le Roy,New York,4265
Mount Olive,North Carolina,4261
Saukville,Wisconsin,4260
Cold Spring,Minnesota,4259
Wiggins,Mississippi,4259
Bristow,Oklahoma,4258
Butler,Missouri,4257
Slaughterville,Oklahoma,4257
Boyertown,Pennsylvania,4257
Larksville,Pennsylvania,4252
Cedarville,Ohio,4250
Slatington,Pennsylvania,4250
Shenandoah,Pennsylvania,4246
Lawrenceville,Illinois,4245
Greencastle,Pennsylvania,4244
Osawatomie,Kansas,4241
Pittsboro,Indiana,4235
Forty Fort,Pennsylvania,4233
Ho-Ho-Kus,New Jersey,4232
Nash,Texas,4230
Berne,Indiana,4227
Sullivan,Indiana,4223
Broken Bow,Oklahoma,4222
Le Sueur,Minnesota,4221
Blanchester,Ohio,4221
Danielson,Connecticut,4219
Bradley Beach,New Jersey,4219
Williamston,South Carolina,4219
Jacksboro,Texas,4219
Geneva,Alabama,4217
Bellville,Texas,4217
Unalaska,Alaska,4214
Normandy,Missouri,4213
Aldan,Pennsylvania,4210
Portola Valley,California,4204
Cannon Falls,Minnesota,4202
Dawson,Georgia,4200
Walhalla,South Carolina,4199
Ashburn,Georgia,4196
Lyons,Georgia,4195
Wellsville,Utah,4194
Pinetop-Lakeside,Arizona,4191
Buchanan,Michigan,4191
Camden,Delaware,4188
Peotone,Illinois,4187
Tarentum,Pennsylvania,4187
Caddo Mills,Texas,4183
Springtown,Texas,4181
Whitesboro,Texas,4181
Montesano,Washington,4179
Dillon,Montana,4176
Mauston,Wisconsin,4176
Farmersville,Texas,4175
Ellenville,New York,4174
Charleroi,Pennsylvania,4174
Dallastown,Pennsylvania,4174
Adamsville,Alabama,4172
Indian Head,Maryland,4170
Fayetteville,New York,4170
Eagle Lake,Florida,4169
Euharlee,Georgia,4168
Kaplan,Louisiana,4165
Aumsville,Oregon,4164
Kutztown,Pennsylvania,4164
North East,Maryland,4163
Ashdown,Arkansas,4162
Mount Pleasant,Pennsylvania,4161
White Bluff,Tennessee,4161
Austin,Indiana,4160
Paintsville,Kentucky,4160
Linden,Michigan,4160
Rice Lake,Minnesota,4160
Farrell,Pennsylvania,4160
Fairway,Kansas,4158
Lambertville,New Jersey,4157
Springville,New York,4155
North Braddock,Pennsylvania,4153
West Peoria,Illinois,4152
Jena,Louisiana,4151
Shrewsbury,New Jersey,4149
Sharpsville,Pennsylvania,4147
Lansford,Pennsylvania,4145
Danville,Pennsylvania,4140
Haskell,Arkansas,4138
Hometown,Illinois,4138
Swansboro,North Carolina,4137
Anna,Illinois,4136
Sebring,Ohio,4135
Roosevelt Park,Michigan,4132
Fayette,Alabama,4128
Smithville,Texas,4126
Algonac,Michigan,4125
Akron,Pennsylvania,4121
Algood,Tennessee,4117
Waverly,Ohio,4114
Crittenden,Kentucky,4106
Trent Woods,North Carolina,4106
Riverdale,New Jersey,4105
Lowell,Michigan,4103
Pipestone,Minnesota,4103
Throop,Pennsylvania,4102
Hawkinsville,Georgia,4100
Jefferson,Iowa,4100
Hamilton,New York,4100
Owego,New York,4096
Clay Center,Kansas,4094
Trenton,Tennessee,4092
Elkin,North Carolina,4088
Goodview,Minnesota,4087
Chagrin Falls,Ohio,4087
Jersey Shore,Pennsylvania,4087
