---
description: Female patronymic as met in Russia — weights are 2021 census populations × rank, so the mix matches the country
Раисовна,826
Иосифовна,815
Умаровна,812
Арменовна,805
Бекхановна,798
Тагировна,798
Исидоровна,796
Ираклиевна,778
Иларионовна,761
Миколична,758
Ашотовна,752
Габдуллична,750
Викентьевна,744
Вениаминовна,727
Мухамматовна,716
Венедиктовна,711
Петроовна,711
Забировна,709
Иналовна,709
Гагиковна,703
Виссарионовна,696
Рушановна,683
Хамзатовна,683
Валериановна,680
Ямилевна,669
Хабибовна,668
Василевна,667
Варфоломеевна,666
Салмановна,663
Гариковна,658
Фаилевна,652
Владленовна,651
Герасимовна,637
Нурмагомедовна,636
Олесевна,626
Дементьевна,624
Ниязовна,623
Вагановна,617
Дорофеевна,611
Казбековна,607
Гасановна,606
Евдокимовна,598
Юлаевна,597
Ерлановна,595
Данилоовна,589
Евграфовна,585
Тиграновна,578
Евстафьевна,573
Фаннуровна,565
Ермолаевна,561
Зелимхановна,559
Нурлановна,556
Яремична,554
Ерофеевна,550
Каплановна,550
Самвеловна,543
Зиновьевна,538
Ильдусовна,535
Турпаловна,528
Карповна,527
Касьяновна,517
Темботовна,516
Кареновна,511
Кондратовна,506
Корнеевна,496
Опанасовна,492
Даулетовна,486
Лазаревна,486
Айааловна,481
Овиковна,481
Разилевна,481
Ларионовна,477
Вахична,474
Леонтьевна,467
Эльчиновна,467
Панасовна,464
Лукьяновна,458
Асхатовна,456
Бахтиёровна,454
Алановна,450
Лечиовна,450
Айсеновна,449
Мартыновна,449
Баировна,445
Мефодьевна,440
Грицькоовна,438
Ибрагимовна,436
Рашидовна,436
Модестовна,432
Бауыржановна,428
Астемировна,427
Суреновна,427
Никандровна,423
Санжаровна,422
Сослановна,420
Уолановна,420
Баторовна,415
Никаноровна,415
Левкоовна,414
Фуадовна,408
Никодимовна,407
Асланбековна,405
Рубеновна,403
Хазретовна,402
Пахомовна,400
Батразовна,393
Нюргуновна,393
Поликарповна,392
Дамбична,388
Порфирьевна,385
Ильгаровна,381
Левоновна,380
Потаповна,378
Кайратовна,377
Севастьяновна,371
Мергеновна,369
Ацамазовна,368
Дьулусовна,368
Сидоровна,364
Жаргаловна,363
Гургеновна,360
Анзоровна,357
Вагифовна,357
Софроновна,357
Сериковна,355
Титовна,350
Мовсаровна,348
Кэскиловна,346
Таймуразовна,344
Трифоновна,344
Арамовна,340
Зориктоовна,340
Фаддеевна,338
Бислановна,337
Аптиовна,332
Феоктистовна,332
Феофановна,326
Эрчимовна,324
Ваграмовна,322
Фроловна,320
Батоовна,319
Резвановна,316
Аскаровна,315
Намиковна,315
Христофоровна,314
Эрастовна,309
Сандаловна,305
Хачатуровна,305
Азизовна,304
Шухратовна,304
Юльевна,303
Сулимовна,301
Аюровна,300
Рудольфовна,299
Досжановна,298
Яновна,298
Аясовна,297
Тофиковна,296
Акимовна,293
Цереновна,292
Мгеровна,289
Анисимовна,288
Тускуловна,287
Сарматовна,285
Аполлоновна,283
Гармична,282
Жанатовна,281
Эльдаровна,279
Аристарховна,278
Айдыновна,277
Алимовна,275
Арчыовна,270
Архиповна,268
Хетаговна,268
Дилшодовна,266
Доржоовна,265
Бориславовна,264
Брониславовна,259
Чинчиовна,259
Аяловна,255
Любомировна,255
Тамерлановна,253
Ратмировна,251
Мункоовна,250
Жасуровна,249
Рамизовна,247
Робертовна,242
Соломоновна,242
Дьулустановна,241
Ахматовна,240
Самуиловна,238
Идрисовна,236
Сандановна,236
Ипполитовна,234
Комиловна,233
Кямилевна,233
Гедеоновна,231
Буяновна,227
Гельевна,227
Сайаановна,227
Магометовна,225
Башировна,223
Гурьевна,223
Далеровна,222
Тумэновна,222
Джавидовна,220
Дионисьевна,219
Улугбековна,219
Евлампьевна,216
Эрхановна,215
Сайдашовна,213
Дзамболатовна,212
Зосимична,212
Кемаловна,211
Мовлдиовна,211
Цыреновна,210
Каллистратовна,209
Орхановна,208
Фирдавсовна,207
Капитоновна,206
Фарруховна,205
Тимировна,203
Куприяновна,202
Ирбековна,201
Орлановна,200
Султановна,200
Леоновна,199
Эрдэмовна,199
Наурузовна,198
Тельмановна,197
Мечиславовна,196
Джамшедовна,194
Минична,193
Эрнстовна,191
Нифонтовна,190
Баясхалановна,188
Хереловна,188
Пименовна,187
Сабировна,187
Солтановна,186
Прововна,184
Отабековна,182
Ратиборовна,181
Синоовна,181
Эльбрусовна,180
Вальдемаровна,179
Селивановна,179
Галсановна,178
Долаановна,177
Созоновна,176
Хызыровна,175
Стояновна,173
Сысоевна,171
Ферапонтовна,168
Сылдысовна,167
Юстиновна,165
Муссична,164
Амвросьевна,163
Саналовна,163
Ананьевна,161
Хуршедовна,159
Афиногеновна,158
Эдгаровна,157
Эртинеовна,157
Баженовна,156
Азретовна,155
Баатровна,153
Будимировна,153
Сослан-Бековна,153
Варламовна,151
Сухробовна,150
Велимировна,149
Кежиковна,149
Вильгельмовна,147
Изотовна,147
Черменовна,146
Онуфриевна,145
Бадмична,143
Разумниковна,143
Рюриковна,141
Начыновна,140
Аскольдовна,139
Готлибовна,138
Исмаиловна,138
Януарьевна,137
Икромовна,136
Феликсовна,135
Очировна,134
Шолбановна,133
Умедовна,132
Далхатовна,130
Иоганновна,130
Оскаровна,129
Эмильевна,127
Аржаановна,125
Парвизовна,125
Эммануиловна,125
Эрнестовна,124
Рамазановна,123
Кимовна,122
Оттоовна,122
Эрдниовна,118
Наврузовна,117
Александеровна,115
Чеславовна,115
Санжовна,111
Фаридуновна,105
Дорджиовна,104
Герхардовна,103
Батыровна,98
Эриховна,97
Убушовна,93
Куртовна,92
Нарановна,87
Аюкична,83
Джангаровна,78
Мингияновна,74
