---
description: US female given names by frequency (SSA, top 1000)
Audra,25041
Lexi,25015
Blanca,24993
Lizbeth,24890
Imani,24840
Kiana,24793
Presley,24770
Kenya,24746
Margo,24601
Julissa,24571
Emerson,24558
Winnie,24489
Leanna,24467
Ashlynn,24288
Teagan,24218
Maribel,24206
Nola,24196
Leann,24163
Chasity,24156
Colette,24143
Sidney,24105
Jeannine,24030
Adalynn,24000
Hilary,23984
Bobbi,23797
Jeanine,23739
Ayla,23690
Carmela,23686
James,23528
Bridgette,23499
Tiara,23407
Deana,23395
Paola,23301
Emilee,23287
Adalyn,23244
Ericka,23186
Nia,23092
Viviana,23067
Alanna,23038
Aisha,23002
Jimmie,22981
Ila,22959
India,22955
Bettye,22920
Chris,22919
Larissa,22813
Tamika,22743
Maritza,22711
Catalina,22658
Jeri,22593
Lenore,22550
Rae,22445
Robbie,22351
Angelia,22318
Sheena,22312
Tonia,22178
Darcy,22132
Raelynn,22023
Keisha,21996
Bernadine,21910
Lorie,21907
Kamryn,21874
Dale,21866
Rosalyn,21859
Tatum,21854
Cornelia,21850
Madalyn,21811
Flossie,21803
Virgie,21790
Michael,21786
Rene,21761
Latonya,21752
John,21715
Abbie,21693
Lia,21631
Marcy,21588
Harriett,21565
Elma,21556
Jayden,21500
Londyn,21451
Amie,21450
Mara,21444
Jami,21428
Elnora,21238
Ladonna,21222
Nyla,21181
Ruthie,21180
Raegan,21080
Kaylie,21080
Malinda,21068
Alessandra,20990
Lauryn,20947
Cadence,20939
Neva,20937
Sage,20915
Christi,20885
Elinor,20836
Skye,20829
Arabella,20811
Maddison,20803
Noemi,20767
Parker,20664
Corrine,20654
Mavis,20625
Kiera,20615
Susana,20570
Katy,20548
Emely,20526
Danna,20504
Silvia,20379
Cecile,20313
Yasmin,20312
Brianne,20310
Dorthy,20303
Macie,20262
Baylee,20232
Nelda,20111
Robert,20107
Devon,20063
Louisa,20027
Dolly,20021
Ophelia,19990
Noreen,19979
