---
description: US male given names by frequency (SSA, top 1000)
Harris,15599
Tyrell,15575
Joesph,15572
Muhammad,15541
Wilmer,15457
Deshawn,15442
Jamar,15439
Brice,15423
Cullen,15383
Truman,15372
Kane,15358
Jeffry,15309
Denny,15279
Donte,15269
Ahmed,15259
Nash,15258
Isaias,15187
Mary,15172
Armand,15168
Knox,15150
Agustin,15108
Alphonso,15086
Matias,15086
Fletcher,15079
Colten,15063
Hans,14986
Sanford,14979
Brayan,14970
Quintin,14961
Monty,14918
Hollis,14901
Iker,14864
Maynard,14858
Carlo,14845
Ward,14805
Dayton,14803
Odell,14756
Merlin,14727
Mohammad,14700
Moshe,14680
Brenton,14675
Blair,14644
Bryon,14633
Ace,14562
Deon,14548
Vito,14542
Lawson,14453
Gerry,14429
Camron,14368
Kolton,14362
Ronny,14334
Kirby,14314
Tyree,14279
Frederic,14235
Kieran,14212
Kris,14206
Elisha,14194
Ronan,14181
Kory,14150
Markus,14149
Donnell,14144
Delmar,14139
Nasir,14062
Weldon,14034
Mohammed,14031
Domingo,13953
Hiram,13949
Stacey,13926
Clement,13864
Osvaldo,13861
Trevon,13844
Ibrahim,13831
Benito,13800
Augustine,13704
Scot,13697
Braydon,13640
Jordon,13571
Eddy,13482
Finley,13480
Devan,13353
Hank,13348
Thiago,13347
Braeden,13334
Mitchel,13216
Demarcus,13212
Laverne,13209
Nico,13206
Jarred,13187
Garret,13143
Chadwick,13098
Carmine,13075
Seymour,13074
Addison,13069
Luciano,13056
Legend,12976
Merrill,12943
Adonis,12937
Davon,12832
Basil,12782
Arlo,12763
Donny,12737
Linwood,12733
Theron,12713
Jamari,12593
Judson,12561
Izaiah,12403
Gale,12390
Gino,12341
Morton,12330
