---
description: Male patronymic as met in Russia — weights are 2021 census populations × rank, so the mix matches the country
Мухамматович,716
Венедиктович,711
Петроович,711
Забирович,709
Иналович,709
Гагикович,703
Виссарионович,696
Рушанович,683
Хамзатович,683
Валерианович,680
Ямилевич,669
Хабибович,668
Василевич,667
Варфоломеевич,666
Салманович,663
Гарикович,658
Фаилевич,652
Владленович,651
Герасимович,637
Нурмагомедович,636
Олесевич,626
Дементьевич,624
Ниязович,623
Ваганович,617
Дорофеевич,611
Казбекович,607
Гасанович,606
Евдокимович,598
Юлаевич,597
Ерланович,595
Данилоович,589
Евграфович,585
Тигранович,578
Евстафьевич,573
Фаннурович,565
Ермолаевич,561
Зелимханович,559
Нурланович,556
Яремич,554
Ерофеевич,550
Капланович,550
Самвелович,543
Зиновьевич,538
Ильдусович,535
Турпалович,528
Карпович,527
Касьянович,517
Темботович,516
Каренович,511
Кондратович,506
Корнеевич,496
Опанасович,492
Даулетович,486
Лазаревич,486
Айаалович,481
Овикович,481
Разилевич,481
Ларионович,477
Вахич,474
Леонтьевич,467
Эльчинович,467
Панасович,464
Лукьянович,458
Асхатович,456
Бахтиёрович,454
Аланович,450
Лечиович,450
Айсенович,449
Мартынович,449
Баирович,445
Мефодьевич,440
Грицькоович,438
Ибрагимович,436
Рашидович,436
Модестович,432
Бауыржанович,428
Астемирович,427
Суренович,427
Никандрович,423
Санжарович,422
Сосланович,420
Уоланович,420
Баторович,415
Никанорович,415
Левкоович,414
Фуадович,408
Никодимович,407
Асланбекович,405
Рубенович,403
Хазретович,402
Пахомович,400
Батразович,393
Нюргунович,393
Поликарпович,392
Дамбич,388
Порфирьевич,385
Ильгарович,381
Левонович,380
Потапович,378
Кайратович,377
Севастьянович,371
Мергенович,369
Ацамазович,368
Дьулусович,368
Сидорович,364
Жаргалович,363
Гургенович,360
Анзорович,357
Вагифович,357
Софронович,357
Серикович,355
Титович,350
Мовсарович,348
Кэскилович,346
Таймуразович,344
Трифонович,344
Арамович,340
Зориктоович,340
Фаддеевич,338
Бисланович,337
Аптиович,332
Феоктистович,332
Феофанович,326
Эрчимович,324
Ваграмович,322
Фролович,320
Батоович,319
Резванович,316
Аскарович,315
Намикович,315
Христофорович,314
Эрастович,309
Сандалович,305
Хачатурович,305
Азизович,304
Шухратович,304
Юльевич,303
Сулимович,301
Аюрович,300
Рудольфович,299
Досжанович,298
Янович,298
Аясович,297
Тофикович,296
Акимович,293
Церенович,292
Мгерович,289
Анисимович,288
Тускулович,287
Сарматович,285
Аполлонович,283
Гармич,282
Жанатович,281
Эльдарович,279
Аристархович,278
Айдынович,277
Алимович,275
Арчыович,270
Архипович,268
Хетагович,268
Дилшодович,266
Доржоович,265
Бориславович,264
Брониславович,259
Чинчиович,259
Аялович,255
Любомирович,255
Тамерланович,253
Ратмирович,251
Мункоович,250
Жасурович,249
Рамизович,247
Робертович,242
Соломонович,242
Дьулустанович,241
Ахматович,240
Самуилович,238
Идрисович,236
Санданович,236
Ипполитович,234
Комилович,233
Кямилевич,233
Гедеонович,231
Буянович,227
Гельевич,227
Сайаанович,227
Магометович,225
Баширович,223
Гурьевич,223
Далерович,222
Тумэнович,222
Джавидович,220
Дионисьевич,219
Улугбекович,219
Евлампьевич,216
Эрханович,215
Сайдашович,213
Дзамболатович,212
Зосимич,212
Кемалович,211
Мовлдиович,211
Цыренович,210
Каллистратович,209
Орханович,208
Фирдавсович,207
Капитонович,206
Фаррухович,205
Тимирович,203
Куприянович,202
Ирбекович,201
Орланович,200
Султанович,200
Леонович,199
Эрдэмович,199
Наурузович,198
Тельманович,197
Мечиславович,196
Джамшедович,194
Минич,193
Эрнстович,191
Нифонтович,190
Баясхаланович,188
Херелович,188
Пименович,187
Сабирович,187
Солтанович,186
Провович,184
Отабекович,182
Ратиборович,181
Синоович,181
Эльбрусович,180
Вальдемарович,179
Селиванович,179
Галсанович,178
Долаанович,177
Созонович,176
Хызырович,175
Стоянович,173
Сысоевич,171
Ферапонтович,168
Сылдысович,167
Юстинович,165
Муссич,164
Амвросьевич,163
Саналович,163
Ананьевич,161
Хуршедович,159
Афиногенович,158
Эдгарович,157
Эртинеович,157
Баженович,156
Азретович,155
Баатрович,153
Будимирович,153
Сослан-Бекович,153
Варламович,151
Сухробович,150
Велимирович,149
Кежикович,149
Вильгельмович,147
Изотович,147
Черменович,146
Онуфриевич,145
Бадмич,143
Разумникович,143
Рюрикович,141
Начынович,140
Аскольдович,139
Готлибович,138
Исмаилович,138
Януарьевич,137
Икромович,136
Феликсович,135
Очирович,134
Шолбанович,133
Умедович,132
Далхатович,130
Иоганнович,130
Оскарович,129
Эмильевич,127
Аржаанович,125
Парвизович,125
Эммануилович,125
Эрнестович,124
Рамазанович,123
Кимович,122
Оттоович,122
Эрдниович,118
Наврузович,117
Александерович,115
Чеславович,115
Санжович,111
Фаридунович,105
Дорджиович,104
Герхардович,103
Батырович,98
Эрихович,97
Убушович,93
Куртович,92
Наранович,87
Аюкич,83
Джангарович,78
Мингиянович,74
